Code	FOOD ITEM	REFERENCE PORTION	Reference ESHA	 Quantity 	Measure	 Gram Weight (g) 	 Calories (Kcal) 	 Calories from Fat (Kcal) 	 Calories from SatFat(Kcal) 	 Protein (g) 	 Carbohydrates (g) 	 Total Dietary Fiber (g) 	 Total Soluble Fiber (g) 	 Dietary Fiber (2016) (g) 	 Soluble Fiber (2016)(g) 	 Total Sugars(g) 	 Added Sugar(g) 	 Monosaccharides(g) 	 Disaccharides(g) 	 Other Carbs(g) 	 Fat(g) 	 Saturated Fat(g) 	 Mono Fat(g) 	 Poly Fat(g) 	 Trans Fatty Acid(g) 	 Cholesterol(mg) 	 Water(g) 	 Vitamin A - IU 	 Vitamin A - RAE (mcg) 	 Carotenoid RE (mcg) 	 Retinol RE (mcg) 	 Beta-Carotene(mcg) 	 Vitamin B1 - Thiamin(mg) 	 Vitamin B2 - Riboflavin(mg) 	 Vitamin B3 - Niacin (mg) 	 Vitamin B3 - Niacin Equiv (mg) 	 Vitamin B6 (mg) 	 Vitamin B12(mcg) 	 Biotin(mcg) 	 Vitamin C(mcg) 	 Vitamin D - IU 	 Vitamin D - mcg 	 Vitamin E - Alpha-Toco (mg) 	 Folate(mcg) 	 Folate, DFE (mcg) 	 Vitamin K(mcg) 	 Pantothenic Acid (mg) 	 Calcium(mg) 	 Chromium(mcg) 	 Copper(mg) 	 Fluoride(mg) 	 Iodine(mcg) 	 Iron(mg) 	 Magnesium(mg) 	 Manganese(mg) 	 Molybdenum(mcg) 	 Phosphorus(mg) 	 Potassium(mg) 	 Selenium(mcg) 	 Sodium(mg) 	 Zinc(mg) 	 Omega 3 Fatty Acid(g) 	 Omega 6 Fatty Acid(g) 	 Alcohol(g) 	 Caffeine(mg) 	 Choline(mg) 
1	Staple Food/Cereals and Cereal-Based Products																																																																	
1.1	White Bread: Arabic/Iranian bread/Pita or Lebanese/ baguette/Toast  	¼ Arabic bread/1 small baguette/1 toast	Average	 100 	 Gram 	 100.00 	 289.92 	 36.37 	 6.21 	 9.53 	 53.72 	 3.35 	 0.09 	 0.34 	 -   	 4.45 	 1.32 	 1.49 	 0.55 	 36.74 	 4.04 	 0.69 	 0.40 	 1.03 	 0.01 	 -   	 28.06 	 18.50 	 4.87 	 0.07 	 4.83 	 1.50 	 0.47 	 0.26 	 3.89 	 3.89 	 0.06 	 0.03 	 0.17 	 0.22 	 -   	 -   	 0.23 	 92.50 	 134.43 	 2.27 	 0.17 	 178.06 	 -   	 0.12 	 -   	 199.33 	 2.81 	 22.83 	 0.19 	 -   	 88.33 	 104.71 	 20.75 	 524.35 	 0.76 	 0.10 	 0.94 	 -   	 -   	 10.22 
1.1.1	White Bread (homemade) : Arabic/Iranian bread/Pita or Lebanese/ baguette/Toast  	¼ Arabic bread/1 small baguette/1 toast	Average	 100 	 Gram 	 100.00 	 289.92 	 36.37 	 6.21 	 9.53 	 53.72 	 3.35 	 0.09 	 0.34 	 -   	 4.45 	 1.32 	 1.49 	 0.55 	 36.74 	 4.04 	 0.69 	 0.40 	 1.03 	 0.01 	 -   	 28.06 	 18.50 	 4.87 	 0.07 	 4.83 	 1.50 	 0.47 	 0.26 	 3.89 	 3.89 	 0.06 	 0.03 	 0.17 	 0.22 	 -   	 -   	 0.23 	 92.50 	 134.43 	 2.27 	 0.17 	 178.06 	 -   	 0.12 	 -   	 199.33 	 2.81 	 22.83 	 0.19 	 -   	 88.33 	 104.71 	 20.75 	 524.35 	 0.76 	 0.10 	 0.94 	 -   	 -   	 10.22 
1.2	Brown bread: Arabic/Iranian bread/Pita or Lebanese/ baguette/Toast  	¼ Arabic bread/1 small baguette/1 toast	Average	 100 	Gram	 100.00 	 240.95 	 41.16 	 10.10 	 11.24 	 50.50 	 6.66 	 0.50 	 -   	 -   	 3.34 	 0.34 	 0.55 	 0.18 	 25.14 	 4.57 	 1.12 	 1.00 	 0.73 	 0.31 	 -   	 20.67 	 1.17 	 0.06 	 0.12 	 -   	 1.83 	 0.30 	 0.13 	 2.90 	 3.18 	 0.17 	 -   	 2.14 	 -   	 -   	 -   	 0.80 	 37.67 	 37.67 	 3.78 	 0.23 	 107.02 	 1.31 	 0.24 	 -   	 0.47 	 2.73 	 54.67 	 0.79 	 -   	 173.50 	 169.54 	 26.55 	 389.93 	 1.23 	 0.04 	 0.69 	 -   	 -   	 17.75 
1.2.1	Brown bread (Homemade) : Arabic/Iranian bread/Pita or Lebanese/ baguette/Toast  	¼ Arabic bread/1 small baguette/1 toast	Average	 100 	Gram	 100.00 	 240.95 	 41.16 	 10.10 	 11.24 	 50.50 	 6.66 	 0.50 	 -   	 -   	 3.34 	 0.34 	 0.55 	 0.18 	 25.14 	 4.57 	 1.12 	 1.00 	 0.73 	 0.31 	 -   	 20.67 	 1.17 	 0.06 	 0.12 	 -   	 1.83 	 0.30 	 0.13 	 2.90 	 3.18 	 0.17 	 -   	 2.14 	 -   	 -   	 -   	 0.80 	 37.67 	 37.67 	 3.78 	 0.23 	 107.02 	 1.31 	 0.24 	 -   	 0.47 	 2.73 	 54.67 	 0.79 	 -   	 173.50 	 169.54 	 26.55 	 389.93 	 1.23 	 0.04 	 0.69 	 -   	 -   	 17.75 
1.3	Chapati or Paratha	Small chapati/1/4 Indian paratha	Average	 100 	Gram	 100.00 	 307.33 	 89.55 	 33.27 	 8.49 	 45.95 	 8.07 	 -   	 -   	 -   	 3.27 	 -   	 0.26 	 0.64 	 34.61 	 9.95 	 3.70 	 2.61 	 1.46 	 0.01 	 0.33 	 33.98 	 -   	 0.67 	 -   	 0.67 	 -   	 0.33 	 0.15 	 4.41 	 4.41 	 0.21 	 -   	 -   	 -   	 -   	 -   	 0.93 	 35.67 	 35.67 	 2.23 	 0.19 	 51.33 	 -   	 0.21 	 -   	 -   	 2.27 	 51.67 	 0.42 	 -   	 154.00 	 200.33 	 29.13 	 386.33 	 1.31 	 0.08 	 1.38 	 -   	 -   	 4.70 
1.4	Other products (crackers/biscuits/ Baqsam/pretzel/kaak)	1 ounce /7 crackers /1 biscuit	Average	 100 	Gram	 100.00 	 454.85 	 122.95 	 29.12 	 8.16 	 61.16 	 2.28 	 0.13 	 0.54 	 -   	 13.32 	 3.88 	 0.11 	 0.18 	 27.00 	 13.66 	 3.24 	 1.89 	 1.03 	 0.01 	 6.00 	 2.77 	 3.54 	 1.25 	 -   	 1.25 	 -   	 0.20 	 0.18 	 1.85 	 2.54 	 0.03 	 0.05 	 -   	 0.16 	 -   	 -   	 0.21 	 51.92 	 71.47 	 2.98 	 0.12 	 21.76 	 -   	 0.06 	 -   	 0.10 	 1.48 	 12.00 	 0.18 	 -   	 64.08 	 119.60 	 6.88 	 430.63 	 0.34 	 0.09 	 0.90 	 -   	 -   	 8.35 
1.5	White rice	Side A	Average	 100 	Gram	 100.00 	 138.00 	 7.61 	 1.18 	 3.45 	 28.56 	 1.56 	 0.05 	 1.56 	 -   	 0.39 	 -   	 -   	 -   	 14.36 	 0.85 	 0.13 	 0.30 	 0.31 	 -   	 -   	 66.57 	 -   	 -   	 -   	 -   	 0.60 	 0.13 	 0.02 	 1.20 	 1.39 	 0.06 	 -   	 0.50 	 0.04 	 -   	 -   	 0.09 	 43.20 	 66.22 	 1.30 	 0.20 	 7.60 	 0.37 	 0.07 	 -   	 1.38 	 1.03 	 13.40 	 0.33 	 -   	 44.40 	 70.20 	 5.14 	 175.40 	 0.58 	 0.04 	 0.26 	 -   	 -   	 5.16 
1.6	Brown rice/Burghul/freekeh 	Side A	Average	 100 	Gram	 100.00 	 175.07 	 23.75 	 3.48 	 5.23 	 33.09 	 2.76 	 0.08 	 2.76 	 0.08 	 1.08 	 -   	 0.12 	 0.07 	 19.63 	 2.66 	 0.39 	 1.27 	 0.53 	 -   	 -   	 55.55 	 0.10 	 7.72 	 0.01 	 7.29 	 6.05 	 0.08 	 0.03 	 1.15 	 1.36 	 0.11 	 -   	 0.24 	 0.35 	 1.14 	 0.03 	 0.46 	 10.42 	 10.42 	 1.98 	 0.11 	 14.59 	 0.06 	 0.06 	 -   	 7.51 	 0.93 	 21.58 	 0.16 	 0.18 	 45.02 	 103.98 	 5.81 	 156.95 	 0.41 	 0.04 	 0.49 	 -   	 -   	 5.39 
1.7	Pasta/Noodles (Prepared at home)	Side A	Average	 100 	Gram	 100.00 	 156.74 	 12.39 	 1.29 	 5.85 	 30.44 	 1.36 	 0.19 	 1.06 	 0.19 	 0.33 	 -   	 0.02 	 0.11 	 23.85 	 1.38 	 0.15 	 0.17 	 0.22 	 -   	 20.18 	 44.75 	 1.11 	 1.67 	 -   	 1.67 	 0.22 	 0.15 	 0.07 	 0.97 	 1.53 	 0.03 	 0.03 	 -   	 -   	 0.89 	 0.02 	 0.05 	 39.39 	 64.03 	 -   	 0.07 	 9.19 	 0.05 	 0.05 	 -   	 6.42 	 0.75 	 11.17 	 0.15 	 -   	 37.45 	 49.20 	 11.16 	 95.86 	 0.31 	 0.01 	 0.21 	 -   	 -   	 5.67 
