id,Name,Portion Size Options,Section,Selected Portion Size,Number of Portions,Frequency,Frequency Count
1.1,White Bread: Arabic/Iranian bread/Pita or Lebanese/ baguette/Toast  ,"[""1 small baguette"", ""1 toast"", ""\u00bc Arabic bread"", """"]",1,1 small baguette,4.0,Per day,3.0
1.1.1,White Bread (homemade) : Arabic/Iranian bread/Pita or Lebanese/ baguette/Toast  ,"[""1 small baguette"", ""1 toast"", ""\u00bc Arabic bread"", """"]",1,¼ Arabic bread,2.0,Per week,5.0
1.2,Brown bread: Arabic/Iranian bread/Pita or Lebanese/ baguette/Toast  ,"[""1 small baguette"", ""1 toast"", ""\u00bc Arabic bread"", """"]",1,1 toast,3.0,Per Month,6.0
1.2.1,Brown bread (Homemade) : Arabic/Iranian bread/Pita or Lebanese/ baguette/Toast  ,"[""1 small baguette"", ""1 toast"", ""\u00bc Arabic bread"", """"]",1,1 small baguette,5.0,Per week,3.0
1.3,Chapati or Paratha,"[""Small chapati"", ""\u00bc Indian paratha"", """"]",1,Small chapati,6.0,Per day,1.0
1.4,Other products (crackers/biscuits/ Baqsam/pretzel/kaak),"[""1 ounce of crackers"", ""7 crackers"", ""1 biscuit"", """"]",1,7 crackers,8.0,Per Month,2.0
1.5,White rice,"[""1 Cup of rice"", ""A1 (Rice)"", ""A2 (Rice)"", ""A3 (Rice)"", ""A4 (Rice)"", ""A5 (Rice)"", ""A6 (Rice)"", ""A7 (Rice)"", ""A8 (Rice)"", ""A9 (Rice) "", ""A10 (Rice)"", ""A11 (Rice)"", ""A12 (Rice)"", ""A13 (Rice)"", ""A14 (Rice)"", ""A15 (Rice)"", """"]",1,1 Cup of rice,0.0,Never,0.0
1.6,Brown rice/Burghul/freekeh ,"[""1 Cup of Burghul/Freekeh"", ""A1 (Burghul/Freekeh)"", ""A2 (Burghul/Freekeh)"", ""A3 (Burghul/Freekeh)"", ""A4 (Burghul/Freekeh)"", ""A5 (Burghul/Freekeh)"", ""A6 (Burghul/Freekeh)"", ""A7 (Burghul/Freekeh)"", ""A8 (Burghul/Freekeh)"", ""A9 (Burghul/Freekeh) "", ""A10 (Burghul/Freekeh)"", ""A11 (Burghul/Freekeh)"", ""A12 (Burghul/Freekeh)"", ""A13 (Burghul/Freekeh)"", ""A14 (Burghul/Freekeh)"", ""A15 (Burghul/Freekeh)"", """"]",1,,0.0,,0.0
1.7,Pasta/Noodles (Prepared at home),"[""1 Cup of Pasta/Noodles"", ""A1 (Pasta/Noodles)"", ""A2 (Pasta/Noodles)"", ""A3 (Pasta/Noodles)"", ""A4 (Pasta/Noodles)"", ""A5 (Pasta/Noodles)"", ""A6 (Pasta/Noodles)"", ""A7 (Pasta/Noodles)"", ""A8 (Pasta/Noodles)"", ""A9 (Pasta/Noodles) "", ""A10 (Pasta/Noodles)"", ""A11 (Pasta/Noodles)"", ""A12 (Pasta/Noodles)"", ""A13 (Pasta/Noodles)"", ""A14 (Pasta/Noodles)"", ""A15 (Pasta/Noodles)"", """"]",1,,0.0,,0.0
1.7.1,Pasta/Noodles (Instant),"[""1 Cup of Pasta/Noodles"", ""A1 (Pasta/Noodles)"", ""A2 (Pasta/Noodles)"", ""A3 (Pasta/Noodles)"", ""A4 (Pasta/Noodles)"", ""A5 (Pasta/Noodles)"", ""A6 (Pasta/Noodles)"", ""A7 (Pasta/Noodles)"", ""A8 (Pasta/Noodles)"", ""A9 (Pasta/Noodles) "", ""A10 (Pasta/Noodles)"", ""A11 (Pasta/Noodles)"", ""A12 (Pasta/Noodles)"", ""A13 (Pasta/Noodles)"", ""A14 (Pasta/Noodles)"", ""A15 (Pasta/Noodles)"", """"]",1,,0.0,,0.0
