Code	FOOD ITEM	REFERENCE PORTION	Portion in grams
1.1	White Bread: Arabic/Iranian bread/Pita or Lebanese/ baguette/Toast  		
		1 small baguette	30.00
		1 toast	30.00
		¼ Arabic bread	30.00
1.1.1	White Bread (homemade) : Arabic/Iranian bread/Pita or Lebanese/ baguette/Toast  		
		1 small baguette	30.00
		1 toast	30.00
		¼ Arabic bread	30.00
1.2	Brown bread: Arabic/Iranian bread/Pita or Lebanese/ baguette/Toast  		
		1 small baguette	30.00
		1 toast	30.00
		¼ Arabic bread	30.00
1.2.1	Brown bread (Homemade) : Arabic/Iranian bread/Pita or Lebanese/ baguette/Toast  		
		1 small baguette	30.00
		1 toast	30.00
		¼ Arabic bread	30.00
1.3	Chapati or Paratha		
		Small chapati	30.00
		¼ Indian paratha	30.00
1.4	Other products (crackers/biscuits/ Baqsam/pretzel/kaak)	 	
		1 ounce of crackers	30.00
		7 crackers	30.00
		1 biscuit	30.00
1.5	White rice	Side A (Rice, density= 0.72)	
		1 Cup of rice	180.00
		A1 (Rice)	3.45
		A2 (Rice)	10.35
		A3 (Rice)	12.35
		A4 (Rice)	62.09
		A5 (Rice)	72.43
		A6 (Rice)	186.26
		A7 (Rice)	31.04
		A8 (Rice)	227.65
		A9 (Rice) 	248.35
		A10 (Rice)	124.17
		A11 (Rice)	124.17
		A12 (Rice)	51.74
		A13 (Rice)	248.35
		A14 (Rice)	370.86
		A15 (Rice)	331.13
1.6	Brown rice/Burghul/freekeh 	Side A (Burghul/ Freekeh, density= 0.72)	
		1 Cup of Burghul/Freekeh	180.00
		A1 (Burghul/Freekeh)	3.45
		A2 (Burghul/Freekeh)	10.35
		A3 (Burghul/Freekeh)	12.35
		A4 (Burghul/Freekeh)	62.09
		A5 (Burghul/Freekeh)	72.43
		A6 (Burghul/Freekeh)	186.26
		A7 (Burghul/Freekeh)	31.04
		A8 (Burghul/Freekeh)	227.65
		A9 (Burghul/Freekeh) 	248.35
		A10 (Burghul/Freekeh)	124.17
		A11 (Burghul/Freekeh)	124.17
		A12 (Burghul/Freekeh)	51.74
		A13 (Burghul/Freekeh)	248.35
		A14 (Burghul/Freekeh)	370.86
		A15 (Burghul/Freekeh)	331.13
1.7	Pasta/Noodles (Prepared at home)	Side A (Pasta/ Noodles, density= 0.72)	
		1 Cup of Pasta/Noodles	180.00
		A1 (Pasta/Noodles)	3.45
		A2 (Pasta/Noodles)	10.35
		A3 (Pasta/Noodles)	12.35
		A4 (Pasta/Noodles)	62.09
		A5 (Pasta/Noodles)	72.43
		A6 (Pasta/Noodles)	186.26
		A7 (Pasta/Noodles)	31.04
		A8 (Pasta/Noodles)	227.65
		A9 (Pasta/Noodles) 	248.35
		A10 (Pasta/Noodles)	124.17
		A11 (Pasta/Noodles)	124.17
		A12 (Pasta/Noodles)	51.74
		A13 (Pasta/Noodles)	248.35
		A14 (Pasta/Noodles)	370.86
		A15 (Pasta/Noodles)	331.13
1.7.1	Pasta/Noodles (Instant)	Side A (Pasta/ Noodles, density= 0.72)	
		1 Cup of Pasta/Noodles	180.00
		A1 (Pasta/Noodles)	3.45
		A2 (Pasta/Noodles)	10.35
		A3 (Pasta/Noodles)	12.35
		A4 (Pasta/Noodles)	62.09
		A5 (Pasta/Noodles)	72.43
		A6 (Pasta/Noodles)	186.26
		A7 (Pasta/Noodles)	31.04
		A8 (Pasta/Noodles)	227.65
		A9 (Pasta/Noodles) 	248.35
		A10 (Pasta/Noodles)	124.17
		A11 (Pasta/Noodles)	124.17
		A12 (Pasta/Noodles)	51.74
		A13 (Pasta/Noodles)	248.35
		A14 (Pasta/Noodles)	370.86
		A15 (Pasta/Noodles)	331.13
1.8	Breakfast cereals (Bran flakes)/ Oats	Side A ( Density= 0.13 g/mL)	
		A1 (Breakfast oats/Cereals)	0.61
		A2 (Breakfast oats/Cereals)	1.84
		A3 (Breakfast oats/Cereals)	3.84
		A4 (Breakfast oats/Cereals)	11.06
		A5 (Breakfast oats/Cereals)	12.90
		A6 (Breakfast oats/Cereals)	33.17
		A7 (Breakfast oats/Cereals)	5.53
		A8 (Breakfast oats/Cereals)	40.54
